N,p,run_id,outcome,t_event,period,glider_seen,t_glider
30,0.4,5,oscillating,178,2.0,1,0.0
30,0.4,6,still,341,,1,0.0
30,0.4,7,oscillating,219,2.0,1,0.0
30,0.4,8,oscillating,165,2.0,1,0.0
30,0.4,9,oscillating,146,2.0,1,0.0
30,0.4,10,oscillating,106,2.0,1,0.0
30,0.4,11,still,167,,1,0.0
30,0.4,12,oscillating,178,2.0,1,0.0
30,0.4,13,oscillating,134,2.0,1,0.0
30,0.4,14,oscillating,371,2.0,1,0.0
30,0.4,15,still,209,,1,0.0
30,0.4,16,oscillating,196,2.0,1,0.0
30,0.4,17,oscillating,106,2.0,1,0.0
30,0.4,18,active_end,500,,1,0.0
30,0.4,19,still,127,,1,0.0
30,0.4,20,oscillating,61,2.0,1,0.0
30,0.4,21,oscillating,84,2.0,1,0.0
30,0.4,22,oscillating,147,2.0,1,0.0
30,0.4,23,oscillating,148,2.0,1,0.0
30,0.4,24,still,206,,1,0.0
30,0.4,25,oscillating,352,2.0,1,0.0
30,0.4,26,active_end,500,,1,0.0
30,0.4,27,still,439,,1,0.0
30,0.4,28,oscillating,43,2.0,1,0.0
30,0.4,29,oscillating,85,2.0,1,0.0
30,0.4,30,still,121,,1,0.0
30,0.4,31,oscillating,221,2.0,1,0.0
30,0.4,32,still,261,,1,0.0
30,0.4,33,oscillating,116,2.0,1,0.0
30,0.4,34,oscillating,494,2.0,1,0.0
30,0.4,35,still,266,,1,0.0
30,0.4,36,oscillating,141,2.0,1,0.0
30,0.4,37,active_end,500,,1,0.0
30,0.4,38,oscillating,73,2.0,1,0.0
30,0.4,39,still,158,,1,0.0
30,0.4,40,active_end,500,,1,0.0
30,0.4,41,active_end,500,,1,0.0
30,0.4,42,oscillating,242,2.0,1,0.0
30,0.4,43,oscillating,99,2.0,1,0.0
30,0.4,44,oscillating,140,2.0,1,0.0
30,0.4,45,oscillating,111,2.0,1,0.0
30,0.4,46,oscillating,137,2.0,1,0.0
30,0.4,47,oscillating,140,2.0,1,0.0
30,0.4,48,still,223,,1,0.0
30,0.4,49,oscillating,82,2.0,1,0.0
30,0.4,50,oscillating,221,2.0,1,0.0
30,0.4,51,still,137,,1,0.0
30,0.4,52,oscillating,225,2.0,1,0.0
30,0.4,53,active_end,500,,1,0.0
30,0.4,54,oscillating,357,2.0,1,0.0
30,0.4,55,oscillating,109,2.0,1,0.0
30,0.4,56,oscillating,50,2.0,1,0.0
30,0.4,57,oscillating,208,2.0,1,0.0
30,0.4,58,oscillating,133,2.0,1,0.0
30,0.4,59,oscillating,94,2.0,1,0.0
30,0.4,60,active_end,500,,1,0.0
30,0.4,61,oscillating,71,2.0,1,0.0
30,0.4,62,active_end,500,,1,0.0
30,0.4,63,oscillating,256,2.0,1,0.0
30,0.4,64,still,276,,1,0.0
30,0.4,65,oscillating,227,2.0,1,0.0
30,0.4,66,oscillating,134,2.0,1,0.0
30,0.4,67,still,170,,1,0.0
30,0.4,68,oscillating,154,2.0,1,0.0
30,0.4,69,still,56,,1,0.0
30,0.4,70,oscillating,136,2.0,1,0.0
30,0.4,71,oscillating,201,2.0,1,0.0
30,0.4,72,oscillating,229,2.0,1,0.0
30,0.4,73,oscillating,200,2.0,1,0.0
30,0.4,74,oscillating,337,2.0,1,0.0
30,0.4,75,oscillating,206,2.0,1,0.0
30,0.4,76,oscillating,103,2.0,1,0.0
30,0.4,77,still,127,,1,0.0
30,0.4,78,oscillating,315,3.0,1,0.0
30,0.4,79,oscillating,351,2.0,1,0.0
30,0.4,80,oscillating,81,2.0,1,0.0
30,0.4,81,active_end,500,,1,0.0
30,0.4,82,still,202,,1,0.0
30,0.4,83,oscillating,135,2.0,1,0.0
30,0.4,84,still,115,,1,0.0
30,0.4,85,oscillating,82,2.0,1,0.0
30,0.4,86,oscillating,95,2.0,1,0.0
30,0.4,87,oscillating,90,2.0,1,0.0
30,0.4,88,oscillating,146,2.0,1,0.0
30,0.4,89,oscillating,222,6.0,1,0.0
30,0.4,90,oscillating,205,2.0,1,0.0
30,0.4,91,active_end,500,,1,0.0
30,0.4,92,oscillating,317,2.0,1,0.0
30,0.4,93,oscillating,129,3.0,1,0.0
30,0.4,94,still,55,,1,0.0
30,0.4,95,oscillating,76,2.0,1,0.0
30,0.4,96,oscillating,109,2.0,1,0.0
30,0.4,97,active_end,500,,1,0.0
30,0.4,98,oscillating,115,2.0,1,0.0
30,0.4,99,oscillating,263,2.0,1,0.0
30,0.4,100,oscillating,162,2.0,1,0.0
30,0.4,101,still,439,,1,0.0
30,0.4,102,still,448,,1,0.0
30,0.4,103,oscillating,113,2.0,1,0.0
30,0.4,104,still,269,,1,0.0
30,0.4,105,oscillating,261,2.0,1,0.0
30,0.4,106,oscillating,173,2.0,1,0.0
30,0.4,107,active_end,500,,1,0.0
30,0.4,108,still,247,,1,0.0
30,0.4,109,oscillating,321,2.0,1,0.0
30,0.4,110,oscillating,407,2.0,1,0.0
30,0.4,111,still,101,,1,0.0
30,0.4,112,oscillating,474,2.0,1,0.0
30,0.4,113,oscillating,203,2.0,1,0.0
30,0.4,114,oscillating,243,2.0,1,0.0
30,0.4,115,oscillating,374,2.0,1,0.0
30,0.4,116,still,108,,1,0.0
30,0.4,117,oscillating,196,2.0,1,0.0
30,0.4,118,oscillating,133,2.0,1,0.0
30,0.4,119,oscillating,131,2.0,1,0.0
30,0.4,120,oscillating,234,2.0,1,0.0
30,0.4,121,oscillating,263,2.0,1,0.0
30,0.4,122,oscillating,136,2.0,1,0.0
30,0.4,123,oscillating,178,2.0,1,0.0
30,0.4,124,still,227,,1,0.0
30,0.4,125,active_end,500,,1,0.0
30,0.4,126,oscillating,92,2.0,1,0.0
30,0.4,127,oscillating,166,3.0,1,0.0
30,0.4,128,active_end,500,,1,0.0
30,0.4,129,still,87,,1,0.0
30,0.4,130,oscillating,290,2.0,1,0.0
30,0.4,131,still,223,,1,0.0
30,0.4,132,still,108,,1,0.0
30,0.4,133,oscillating,218,2.0,1,0.0
30,0.4,134,oscillating,60,2.0,1,0.0
30,0.4,135,oscillating,74,2.0,1,0.0
30,0.4,136,oscillating,319,6.0,1,0.0
30,0.4,137,oscillating,100,2.0,1,0.0
30,0.4,138,oscillating,136,2.0,1,0.0
30,0.4,139,oscillating,62,2.0,1,0.0
30,0.4,140,oscillating,62,2.0,1,0.0
30,0.4,141,oscillating,83,2.0,1,0.0
30,0.4,142,oscillating,374,2.0,1,0.0
30,0.4,143,oscillating,241,2.0,1,0.0
30,0.4,144,still,340,,1,0.0
30,0.4,145,oscillating,354,2.0,1,0.0
30,0.4,146,oscillating,217,2.0,1,0.0
30,0.4,147,oscillating,209,2.0,1,0.0
30,0.4,148,oscillating,179,2.0,1,0.0
30,0.4,149,oscillating,79,2.0,1,0.0
30,0.4,150,oscillating,407,2.0,1,0.0
30,0.4,151,oscillating,294,2.0,1,0.0
30,0.4,152,oscillating,145,2.0,1,0.0
30,0.4,153,oscillating,248,2.0,1,0.0
30,0.4,154,still,293,,1,0.0
30,0.4,155,oscillating,135,2.0,1,0.0
30,0.4,156,still,253,,1,0.0
30,0.4,157,oscillating,147,2.0,1,0.0
30,0.4,158,oscillating,122,2.0,1,0.0
30,0.4,159,oscillating,179,2.0,1,0.0
30,0.4,160,still,271,,1,0.0
30,0.4,161,oscillating,295,2.0,1,0.0
30,0.4,162,still,435,,1,0.0
30,0.4,163,oscillating,80,2.0,1,0.0
30,0.4,164,oscillating,135,2.0,1,0.0
30,0.4,165,oscillating,124,2.0,1,0.0
30,0.4,166,active_end,500,,1,0.0
30,0.4,167,oscillating,229,2.0,1,0.0
30,0.4,168,oscillating,124,2.0,1,0.0
30,0.4,169,oscillating,248,2.0,1,0.0
30,0.4,170,still,289,,1,0.0
30,0.4,171,oscillating,91,2.0,1,0.0
30,0.4,172,oscillating,101,6.0,1,0.0
30,0.4,173,oscillating,328,2.0,1,0.0
30,0.4,174,oscillating,90,2.0,1,0.0
30,0.4,175,oscillating,260,2.0,1,0.0
30,0.4,176,oscillating,148,2.0,1,0.0
30,0.4,177,oscillating,109,2.0,1,0.0
30,0.4,178,oscillating,252,2.0,1,0.0
30,0.4,179,still,277,,1,0.0
30,0.4,180,oscillating,57,2.0,1,0.0
30,0.4,181,oscillating,168,2.0,1,0.0
30,0.4,182,oscillating,312,6.0,1,0.0
30,0.4,183,active_end,500,,1,0.0
30,0.4,184,oscillating,216,2.0,1,0.0
30,0.4,185,still,133,,1,0.0
30,0.4,186,still,155,,1,0.0
30,0.4,187,active_end,500,,1,0.0
30,0.4,188,oscillating,303,2.0,1,0.0
30,0.4,189,still,99,,1,0.0
30,0.4,190,still,53,,1,0.0
30,0.4,191,oscillating,228,2.0,1,0.0
30,0.4,192,still,76,,1,0.0
30,0.4,193,still,158,,1,0.0
30,0.4,194,oscillating,237,2.0,1,0.0
30,0.4,195,oscillating,80,2.0,1,0.0
30,0.4,196,still,186,,1,0.0
30,0.4,197,oscillating,194,2.0,1,0.0
30,0.4,198,still,377,,1,0.0
30,0.4,199,active_end,500,,1,0.0
50,0.1,0,oscillating,39,2.0,1,2.0
50,0.1,1,oscillating,9,2.0,1,2.0
50,0.1,2,oscillating,54,2.0,1,3.0
50,0.1,3,oscillating,327,2.0,1,1.0
50,0.1,4,oscillating,85,2.0,1,1.0
50,0.1,5,oscillating,152,2.0,1,1.0
50,0.1,6,oscillating,339,2.0,1,1.0
50,0.1,7,oscillating,53,2.0,1,2.0
50,0.1,8,oscillating,219,2.0,1,1.0
50,0.1,9,oscillating,186,2.0,1,7.0
50,0.1,10,active_end,500,,1,3.0
50,0.1,11,oscillating,210,2.0,1,1.0
50,0.1,12,oscillating,54,2.0,1,1.0
50,0.1,13,oscillating,82,3.0,1,1.0
50,0.1,14,oscillating,288,2.0,1,1.0
50,0.1,15,oscillating,197,2.0,1,1.0
50,0.1,16,oscillating,258,2.0,1,5.0
50,0.1,17,active_end,500,,1,4.0
50,0.1,18,oscillating,137,2.0,1,1.0
50,0.1,19,oscillating,221,2.0,1,0.0
50,0.1,20,still,24,,1,11.0
50,0.1,21,oscillating,428,2.0,1,0.0
50,0.1,22,oscillating,302,2.0,1,1.0
50,0.1,23,oscillating,96,6.0,1,1.0
50,0.1,24,active_end,500,,1,1.0
50,0.1,25,oscillating,499,2.0,1,0.0
50,0.1,26,oscillating,32,6.0,1,3.0
50,0.1,27,oscillating,24,2.0,1,4.0
50,0.1,28,oscillating,353,2.0,1,2.0
50,0.1,29,oscillating,135,2.0,1,11.0
50,0.1,30,oscillating,7,2.0,1,1.0
50,0.1,31,oscillating,241,2.0,1,1.0
50,0.1,32,oscillating,65,2.0,1,8.0
50,0.1,33,oscillating,151,2.0,1,0.0
50,0.1,34,oscillating,174,2.0,1,1.0
50,0.1,35,active_end,500,,1,2.0
50,0.1,36,oscillating,101,2.0,1,1.0
50,0.1,37,oscillating,90,2.0,1,1.0
50,0.1,38,oscillating,263,2.0,1,1.0
50,0.1,39,active_end,500,,1,3.0
50,0.1,40,oscillating,107,2.0,1,1.0
50,0.1,41,oscillating,155,2.0,1,0.0
50,0.1,42,active_end,500,,1,17.0
50,0.1,43,oscillating,75,2.0,1,1.0
50,0.1,44,oscillating,388,2.0,1,1.0
50,0.1,45,oscillating,93,2.0,1,2.0
50,0.1,46,oscillating,248,2.0,1,1.0
50,0.1,47,oscillating,267,2.0,1,1.0
50,0.1,48,active_end,500,,1,1.0
50,0.1,49,oscillating,165,2.0,1,0.0
50,0.1,50,oscillating,30,2.0,1,0.0
50,0.1,51,oscillating,193,2.0,1,1.0
50,0.1,52,oscillating,490,2.0,1,0.0
50,0.1,53,oscillating,158,2.0,1,0.0
50,0.1,54,oscillating,100,2.0,1,1.0
50,0.1,55,oscillating,91,2.0,1,4.0
50,0.1,56,oscillating,302,2.0,1,0.0
50,0.1,57,oscillating,111,6.0,1,1.0
50,0.1,58,oscillating,201,2.0,1,1.0
50,0.1,59,oscillating,43,2.0,1,2.0
50,0.1,60,oscillating,93,2.0,1,2.0
50,0.1,61,still,50,,1,1.0
50,0.1,62,oscillating,218,2.0,1,1.0
50,0.1,63,oscillating,47,2.0,1,0.0
50,0.1,64,oscillating,287,2.0,1,1.0
50,0.1,65,oscillating,136,2.0,1,0.0
50,0.1,66,active_end,500,,1,0.0
50,0.1,67,oscillating,12,2.0,1,1.0
50,0.1,68,oscillating,371,2.0,1,1.0
50,0.1,69,oscillating,124,2.0,1,3.0
50,0.1,70,oscillating,90,2.0,1,7.0
50,0.1,71,oscillating,471,2.0,1,1.0
50,0.1,72,oscillating,266,2.0,1,3.0
50,0.1,73,oscillating,475,2.0,1,2.0
50,0.1,74,oscillating,60,2.0,1,0.0
50,0.1,75,oscillating,64,2.0,1,1.0
50,0.1,76,oscillating,103,2.0,1,1.0
50,0.1,77,still,89,,1,1.0
50,0.1,78,oscillating,312,2.0,1,1.0
50,0.1,79,oscillating,333,2.0,1,3.0
50,0.1,80,oscillating,221,2.0,1,1.0
50,0.1,81,oscillating,32,2.0,1,17.0
50,0.1,82,oscillating,105,2.0,1,1.0
50,0.1,83,oscillating,147,2.0,1,2.0
50,0.1,84,oscillating,14,2.0,1,2.0
50,0.1,85,oscillating,68,2.0,1,1.0
50,0.1,86,oscillating,129,2.0,1,2.0
50,0.1,87,oscillating,130,2.0,1,13.0
50,0.1,88,oscillating,150,6.0,1,1.0
50,0.1,89,oscillating,66,2.0,1,3.0
50,0.1,90,oscillating,116,2.0,1,2.0
50,0.1,91,oscillating,136,2.0,1,0.0
50,0.1,92,oscillating,117,2.0,1,3.0
50,0.1,93,oscillating,441,2.0,1,0.0
50,0.1,94,oscillating,32,6.0,1,3.0
50,0.1,95,still,49,,1,1.0
50,0.1,96,oscillating,23,2.0,1,4.0
50,0.1,97,oscillating,394,2.0,1,0.0
50,0.1,98,active_end,500,,1,3.0
50,0.1,99,still,150,,1,1.0
50,0.1,100,oscillating,110,2.0,1,0.0
50,0.1,101,oscillating,143,2.0,1,3.0
50,0.1,102,oscillating,224,2.0,1,1.0
50,0.1,103,oscillating,466,2.0,1,2.0
50,0.1,104,active_end,500,,1,2.0
50,0.1,105,oscillating,59,2.0,1,1.0
50,0.1,106,oscillating,103,2.0,1,2.0
50,0.1,107,oscillating,23,2.0,1,1.0
50,0.1,108,active_end,500,,1,3.0
50,0.1,109,oscillating,31,2.0,1,0.0
50,0.1,110,active_end,500,,1,0.0
50,0.1,111,oscillating,23,2.0,1,2.0
50,0.1,112,oscillating,53,2.0,1,1.0
50,0.1,113,active_end,500,,1,1.0
50,0.1,114,oscillating,340,2.0,1,0.0
50,0.1,115,oscillating,396,2.0,1,0.0
50,0.1,116,oscillating,231,2.0,1,3.0
50,0.1,117,active_end,500,,1,1.0
50,0.1,118,oscillating,181,2.0,1,2.0
50,0.1,119,oscillating,51,2.0,1,0.0
50,0.1,120,active_end,500,,1,1.0
50,0.1,121,oscillating,95,2.0,1,2.0
50,0.1,122,oscillating,129,2.0,1,3.0
50,0.1,123,oscillating,125,2.0,1,1.0
50,0.1,124,oscillating,114,6.0,1,1.0
50,0.1,125,oscillating,184,2.0,1,2.0
50,0.1,126,active_end,500,,1,3.0
50,0.1,127,oscillating,221,2.0,1,1.0
50,0.1,128,oscillating,229,2.0,1,1.0
50,0.1,129,oscillating,98,2.0,1,1.0
50,0.1,130,oscillating,443,2.0,1,1.0
50,0.1,131,oscillating,73,2.0,1,0.0
50,0.1,132,active_end,500,,1,1.0
50,0.1,133,active_end,500,,1,1.0
50,0.1,134,oscillating,423,6.0,1,1.0
50,0.1,135,oscillating,124,6.0,1,4.0
50,0.1,136,oscillating,300,2.0,1,6.0
50,0.1,137,oscillating,23,2.0,1,1.0
50,0.1,138,oscillating,22,2.0,1,8.0
50,0.1,139,oscillating,228,2.0,1,1.0
50,0.1,140,active_end,500,,1,1.0
50,0.1,141,oscillating,162,2.0,1,6.0
50,0.1,142,oscillating,199,2.0,1,2.0
50,0.1,143,oscillating,192,2.0,1,2.0
50,0.1,144,still,43,,1,3.0
50,0.1,145,oscillating,121,2.0,1,1.0
50,0.1,146,oscillating,161,2.0,1,0.0
50,0.1,147,still,391,,1,1.0
50,0.1,148,still,8,,1,3.0
50,0.1,149,oscillating,412,2.0,1,2.0
50,0.1,150,oscillating,214,2.0,1,1.0
50,0.1,151,oscillating,484,2.0,1,0.0
50,0.1,152,active_end,500,,1,5.0
50,0.1,153,oscillating,154,2.0,1,1.0
50,0.1,154,oscillating,118,2.0,1,2.0
50,0.1,155,oscillating,15,2.0,1,2.0
50,0.1,156,active_end,500,,1,1.0
50,0.1,157,oscillating,163,6.0,1,3.0
50,0.1,158,oscillating,252,2.0,1,7.0
50,0.1,159,active_end,500,,1,0.0
50,0.1,160,oscillating,133,2.0,1,11.0
50,0.1,161,oscillating,396,2.0,1,2.0
50,0.1,162,oscillating,50,2.0,1,1.0
50,0.1,163,oscillating,78,2.0,1,1.0
50,0.1,164,still,24,,1,2.0
50,0.1,165,oscillating,58,2.0,1,9.0
50,0.1,166,oscillating,466,2.0,1,2.0
50,0.1,167,oscillating,345,2.0,1,1.0
50,0.1,168,oscillating,318,2.0,1,1.0
50,0.1,169,oscillating,98,2.0,1,5.0
50,0.1,170,still,185,,1,4.0
50,0.1,171,oscillating,459,2.0,1,1.0
50,0.1,172,oscillating,68,2.0,1,1.0
50,0.1,173,oscillating,72,6.0,1,1.0
50,0.1,174,oscillating,144,2.0,1,5.0
50,0.1,175,oscillating,384,2.0,1,2.0
50,0.1,176,still,138,,1,5.0
50,0.1,177,oscillating,26,2.0,1,10.0
50,0.1,178,oscillating,155,2.0,1,15.0
50,0.1,179,still,69,,1,2.0
50,0.1,180,oscillating,195,2.0,1,2.0
50,0.1,181,oscillating,391,2.0,1,1.0
50,0.1,182,oscillating,66,2.0,1,8.0
50,0.1,183,oscillating,452,2.0,1,2.0
50,0.1,184,oscillating,204,2.0,1,0.0
50,0.1,185,oscillating,75,2.0,1,1.0
50,0.1,186,oscillating,307,6.0,1,0.0
50,0.1,187,active_end,500,,1,2.0
50,0.1,188,oscillating,489,6.0,1,3.0
50,0.1,189,oscillating,372,2.0,1,3.0
50,0.1,190,oscillating,51,2.0,1,3.0
50,0.1,191,oscillating,170,2.0,1,0.0
50,0.1,192,oscillating,414,2.0,1,0.0
50,0.1,193,oscillating,174,2.0,1,2.0
50,0.1,194,oscillating,44,6.0,1,1.0
50,0.1,195,oscillating,113,2.0,1,3.0
50,0.1,196,oscillating,317,2.0,1,1.0
50,0.1,197,oscillating,31,2.0,1,1.0
50,0.1,198,oscillating,76,2.0,1,1.0
50,0.1,199,oscillating,128,2.0,1,6.0
50,0.2,0,oscillating,353,6.0,1,0.0
50,0.2,1,oscillating,395,2.0,1,0.0
50,0.2,2,active_end,500,,1,0.0
50,0.2,3,oscillating,173,2.0,1,0.0
50,0.2,4,oscillating,467,2.0,1,0.0
50,0.2,5,oscillating,230,2.0,1,0.0
50,0.2,6,oscillating,328,2.0,1,0.0
50,0.2,7,active_end,500,,1,0.0
50,0.2,8,oscillating,227,2.0,1,0.0
50,0.2,9,active_end,500,,1,0.0
50,0.2,10,active_end,500,,1,0.0
50,0.2,11,oscillating,274,2.0,1,0.0
50,0.2,12,oscillating,138,2.0,1,0.0
50,0.2,13,oscillating,234,2.0,1,0.0
50,0.2,14,oscillating,492,2.0,1,0.0
50,0.2,15,oscillating,496,2.0,1,0.0
50,0.2,16,oscillating,247,2.0,1,0.0
50,0.2,17,oscillating,189,2.0,1,0.0
50,0.2,18,oscillating,210,2.0,1,0.0
50,0.2,19,oscillating,404,2.0,1,0.0
50,0.2,20,oscillating,401,2.0,1,0.0
50,0.2,21,active_end,500,,1,0.0
50,0.2,22,active_end,500,,1,0.0
50,0.2,23,oscillating,350,2.0,1,0.0
50,0.2,24,active_end,500,,1,0.0
50,0.2,25,oscillating,318,2.0,1,0.0
50,0.2,26,oscillating,141,6.0,1,0.0
50,0.2,27,oscillating,365,2.0,1,0.0
50,0.2,28,active_end,500,,1,0.0
50,0.2,29,oscillating,179,2.0,1,0.0
50,0.2,30,oscillating,361,2.0,1,0.0
50,0.2,31,oscillating,417,2.0,1,0.0
50,0.2,32,active_end,500,,1,0.0
50,0.2,33,oscillating,319,2.0,1,0.0
50,0.2,34,active_end,500,,1,0.0
50,0.2,35,oscillating,335,2.0,1,0.0
50,0.2,36,oscillating,235,2.0,1,0.0
50,0.2,37,active_end,500,,1,0.0
50,0.2,38,active_end,500,,1,0.0
50,0.2,39,oscillating,358,2.0,1,0.0
50,0.2,40,oscillating,314,2.0,1,0.0
50,0.2,41,active_end,500,,1,0.0
50,0.2,42,oscillating,360,2.0,1,0.0
50,0.2,43,oscillating,140,2.0,1,0.0
50,0.2,44,oscillating,418,2.0,1,0.0
50,0.2,45,oscillating,433,2.0,1,0.0
50,0.2,46,oscillating,425,2.0,1,0.0
50,0.2,47,oscillating,295,2.0,1,0.0
50,0.2,48,active_end,500,,1,0.0
50,0.2,49,oscillating,500,2.0,1,0.0
50,0.2,50,oscillating,401,2.0,1,0.0
50,0.2,51,active_end,500,,1,0.0
50,0.2,52,active_end,500,,1,0.0
50,0.2,53,oscillating,247,2.0,1,0.0
50,0.2,54,oscillating,242,2.0,1,0.0
50,0.2,55,oscillating,204,2.0,1,0.0
50,0.2,56,oscillating,321,6.0,1,0.0
50,0.2,57,oscillating,248,2.0,1,0.0
50,0.2,58,oscillating,223,2.0,1,0.0
50,0.2,59,oscillating,313,6.0,1,0.0
50,0.2,60,active_end,500,,1,0.0
50,0.2,61,oscillating,248,2.0,1,0.0
50,0.2,62,oscillating,374,2.0,1,0.0
50,0.2,63,oscillating,448,2.0,1,0.0
50,0.2,64,oscillating,251,2.0,1,0.0
50,0.2,65,oscillating,339,2.0,1,0.0
50,0.2,66,active_end,500,,1,0.0
50,0.2,67,oscillating,155,2.0,1,0.0
50,0.2,68,oscillating,396,2.0,1,0.0
50,0.2,69,oscillating,242,2.0,1,0.0
50,0.2,70,oscillating,209,2.0,1,0.0
50,0.2,71,active_end,500,,1,0.0
50,0.2,72,active_end,500,,1,0.0
50,0.2,73,active_end,500,,1,0.0
50,0.2,74,oscillating,190,2.0,1,1.0
50,0.2,75,oscillating,369,2.0,1,0.0
50,0.2,76,oscillating,449,2.0,1,0.0
50,0.2,77,oscillating,414,6.0,1,0.0
50,0.2,78,active_end,500,,1,0.0
50,0.2,79,oscillating,433,2.0,1,1.0
50,0.2,80,oscillating,300,6.0,1,0.0
50,0.2,81,oscillating,381,2.0,1,0.0
50,0.2,82,active_end,500,,1,0.0
50,0.2,83,oscillating,232,6.0,1,0.0
50,0.2,84,oscillating,298,6.0,1,0.0
50,0.2,85,oscillating,454,2.0,1,0.0
50,0.2,86,oscillating,219,2.0,1,0.0
50,0.2,87,oscillating,458,2.0,1,0.0
50,0.2,88,oscillating,335,2.0,1,0.0
50,0.2,89,oscillating,272,2.0,1,0.0
50,0.2,90,oscillating,239,2.0,1,0.0
50,0.2,91,active_end,500,,1,0.0
50,0.2,92,active_end,500,,1,0.0
50,0.2,93,active_end,500,,1,0.0
50,0.2,94,oscillating,375,2.0,1,0.0
50,0.2,95,oscillating,270,2.0,1,0.0
50,0.2,96,oscillating,465,2.0,1,0.0
50,0.2,97,oscillating,171,2.0,1,0.0
50,0.2,98,oscillating,240,2.0,1,0.0
50,0.2,99,oscillating,333,2.0,1,0.0
50,0.2,100,oscillating,314,2.0,1,0.0
50,0.2,101,still,223,,1,0.0
50,0.2,102,oscillating,212,2.0,1,0.0
50,0.2,103,oscillating,355,2.0,1,0.0
50,0.2,104,active_end,500,,1,0.0
50,0.2,105,active_end,500,,1,0.0
50,0.2,106,oscillating,383,2.0,1,0.0
50,0.2,107,oscillating,172,2.0,1,0.0
50,0.2,108,active_end,500,,1,0.0
50,0.2,109,active_end,500,,1,0.0
50,0.2,110,oscillating,297,6.0,1,0.0
50,0.2,111,oscillating,288,2.0,1,0.0
50,0.2,112,oscillating,335,2.0,1,0.0
50,0.2,113,oscillating,149,2.0,1,0.0
50,0.2,114,oscillating,452,2.0,1,0.0
50,0.2,115,oscillating,360,2.0,1,0.0
50,0.2,116,oscillating,268,2.0,1,0.0
50,0.2,117,oscillating,391,2.0,1,0.0
50,0.2,118,oscillating,301,2.0,1,0.0
50,0.2,119,oscillating,308,2.0,1,1.0
50,0.2,120,oscillating,284,2.0,1,0.0
50,0.2,121,oscillating,170,2.0,1,0.0
50,0.2,122,oscillating,219,2.0,1,0.0
50,0.2,123,oscillating,500,2.0,1,0.0
50,0.2,124,oscillating,477,2.0,1,0.0
50,0.2,125,active_end,500,,1,0.0
50,0.2,126,active_end,500,,1,0.0
50,0.2,127,oscillating,434,2.0,1,0.0
50,0.2,128,oscillating,325,2.0,1,0.0
50,0.2,129,oscillating,270,2.0,1,0.0
50,0.2,130,active_end,500,,1,0.0
50,0.2,131,oscillating,256,2.0,1,0.0
50,0.2,132,oscillating,403,2.0,1,0.0
50,0.2,133,oscillating,300,2.0,1,0.0
50,0.2,134,oscillating,292,2.0,1,0.0
50,0.2,135,oscillating,340,2.0,1,0.0
50,0.2,136,oscillating,409,6.0,1,0.0
50,0.2,137,active_end,500,,1,0.0
50,0.2,138,oscillating,376,2.0,1,0.0
50,0.2,139,oscillating,401,2.0,1,0.0
50,0.2,140,active_end,500,,1,0.0
50,0.2,141,oscillating,155,2.0,1,0.0
50,0.2,142,oscillating,141,2.0,1,0.0
50,0.2,143,oscillating,329,2.0,1,0.0
50,0.2,144,oscillating,462,2.0,1,1.0
50,0.2,145,active_end,500,,1,0.0
50,0.2,146,active_end,500,,1,0.0
50,0.2,147,oscillating,290,2.0,1,0.0
50,0.2,148,oscillating,354,2.0,1,0.0
50,0.2,149,active_end,500,,1,0.0
50,0.2,150,active_end,500,,1,0.0
50,0.2,151,oscillating,210,2.0,1,0.0
50,0.2,152,active_end,500,,1,0.0
50,0.2,153,oscillating,209,2.0,1,0.0
50,0.2,154,active_end,500,,1,0.0
50,0.2,155,active_end,500,,1,0.0
50,0.2,156,oscillating,242,2.0,1,0.0
50,0.2,157,oscillating,180,6.0,1,0.0
50,0.2,158,oscillating,155,2.0,1,0.0
50,0.2,159,active_end,500,,1,0.0
50,0.2,160,oscillating,251,2.0,1,0.0
50,0.2,161,oscillating,340,2.0,1,0.0
50,0.2,162,oscillating,285,2.0,1,0.0
50,0.2,163,oscillating,227,2.0,1,0.0
50,0.2,164,active_end,500,,1,0.0
50,0.2,165,oscillating,327,2.0,1,0.0
50,0.2,166,active_end,500,,1,0.0
50,0.2,167,oscillating,292,2.0,1,0.0
50,0.2,168,active_end,500,,1,0.0
50,0.2,169,oscillating,192,2.0,1,0.0
50,0.2,170,active_end,500,,1,0.0
50,0.2,171,active_end,500,,1,0.0
50,0.2,172,oscillating,270,2.0,1,0.0
50,0.2,173,oscillating,240,2.0,1,0.0
50,0.2,174,oscillating,407,2.0,1,0.0
50,0.2,175,active_end,500,,1,0.0
50,0.2,176,oscillating,228,2.0,1,0.0
50,0.2,177,oscillating,414,2.0,1,0.0
50,0.2,178,oscillating,274,2.0,1,0.0
50,0.2,179,oscillating,326,2.0,1,0.0
50,0.2,180,oscillating,159,2.0,1,0.0
50,0.2,181,oscillating,418,2.0,1,0.0
50,0.2,182,oscillating,337,2.0,1,0.0
50,0.2,183,oscillating,354,2.0,1,0.0
50,0.2,184,oscillating,333,2.0,1,0.0
50,0.2,185,oscillating,406,2.0,1,0.0
50,0.2,186,oscillating,449,2.0,1,0.0
50,0.2,187,oscillating,291,2.0,1,0.0
50,0.2,188,active_end,500,,1,0.0
50,0.2,189,oscillating,387,2.0,1,0.0
50,0.2,190,oscillating,426,2.0,1,0.0
50,0.2,191,oscillating,452,2.0,1,0.0
