N,p,run_id,outcome,t_event,period,glider_seen,t_glider
30,0.1,130,oscillating,35,2.0,1,0.0
30,0.1,131,still,46,,1,7.0
30,0.1,132,oscillating,151,2.0,1,2.0
30,0.1,133,oscillating,31,2.0,1,17.0
30,0.1,134,oscillating,99,2.0,1,1.0
30,0.1,135,still,150,,1,5.0
30,0.1,136,still,114,,1,6.0
30,0.1,137,oscillating,21,2.0,1,2.0
30,0.1,138,oscillating,235,2.0,1,2.0
30,0.1,139,oscillating,92,2.0,1,1.0
30,0.1,140,oscillating,128,2.0,1,1.0
30,0.1,141,oscillating,287,2.0,1,31.0
30,0.1,142,still,55,,1,3.0
30,0.1,143,oscillating,129,2.0,1,10.0
30,0.1,144,oscillating,13,2.0,1,0.0
30,0.1,145,oscillating,58,6.0,1,5.0
30,0.1,146,oscillating,7,2.0,0,
30,0.1,147,still,11,,1,1.0
30,0.1,148,still,6,,0,
30,0.1,149,oscillating,12,2.0,0,
30,0.1,150,still,227,,1,13.0
30,0.1,151,oscillating,400,2.0,1,4.0
30,0.1,152,oscillating,12,2.0,0,
30,0.1,153,still,17,,1,9.0
30,0.1,154,oscillating,11,2.0,0,
30,0.1,155,oscillating,6,2.0,0,
30,0.1,156,oscillating,9,2.0,0,
30,0.1,157,still,7,,0,
30,0.1,158,oscillating,144,2.0,1,8.0
30,0.1,159,oscillating,297,2.0,1,10.0
30,0.1,160,oscillating,92,2.0,1,6.0
30,0.1,161,oscillating,22,2.0,1,1.0
30,0.1,162,still,60,,1,14.0
30,0.1,163,oscillating,90,2.0,1,12.0
30,0.1,164,oscillating,132,2.0,1,0.0
30,0.1,165,oscillating,26,2.0,1,8.0
30,0.1,166,active_end,500,,1,4.0
30,0.1,167,oscillating,67,2.0,1,8.0
30,0.1,168,oscillating,28,3.0,1,1.0
30,0.1,169,still,5,,0,
30,0.1,170,oscillating,41,2.0,1,1.0
30,0.1,171,still,18,,1,9.0
30,0.1,172,still,7,,1,2.0
30,0.1,173,oscillating,172,2.0,1,5.0
30,0.1,174,oscillating,90,2.0,1,3.0
30,0.1,175,oscillating,163,3.0,1,0.0
30,0.1,176,oscillating,74,2.0,1,0.0
30,0.1,177,oscillating,73,2.0,1,2.0
30,0.1,178,oscillating,30,3.0,0,
30,0.1,179,still,62,,1,20.0
30,0.1,180,still,283,,1,4.0
30,0.1,181,oscillating,19,2.0,1,7.0
30,0.1,182,oscillating,63,2.0,1,1.0
30,0.1,183,oscillating,19,2.0,1,8.0
30,0.1,184,still,47,,1,14.0
30,0.1,185,oscillating,26,2.0,1,2.0
30,0.1,186,still,47,,1,3.0
30,0.1,187,oscillating,31,2.0,1,2.0
30,0.1,188,still,31,,1,3.0
30,0.1,189,still,50,,1,2.0
30,0.1,190,still,321,,1,1.0
30,0.1,191,still,139,,1,16.0
30,0.1,192,oscillating,13,2.0,1,1.0
30,0.1,193,oscillating,307,2.0,1,4.0
30,0.1,194,oscillating,119,2.0,1,13.0
30,0.1,195,still,20,,1,2.0
30,0.1,196,still,13,,1,5.0
30,0.1,197,oscillating,38,2.0,1,7.0
30,0.1,198,oscillating,5,2.0,0,
30,0.1,199,still,90,,1,2.0
30,0.2,0,oscillating,269,2.0,1,1.0
30,0.2,1,oscillating,170,2.0,1,0.0
30,0.2,2,still,157,,1,0.0
30,0.2,3,oscillating,291,2.0,1,0.0
30,0.2,4,oscillating,41,2.0,1,0.0
30,0.2,5,still,195,,1,0.0
30,0.2,6,oscillating,121,2.0,1,1.0
30,0.2,7,oscillating,54,2.0,1,0.0
30,0.2,8,oscillating,73,2.0,1,0.0
30,0.2,9,oscillating,257,2.0,1,1.0
30,0.2,10,oscillating,259,2.0,1,0.0
30,0.2,11,oscillating,103,2.0,1,0.0
30,0.2,12,oscillating,68,2.0,1,0.0
30,0.2,13,oscillating,246,2.0,1,0.0
30,0.2,14,oscillating,496,2.0,1,0.0
30,0.2,15,still,214,,1,1.0
30,0.2,16,oscillating,143,2.0,1,0.0
30,0.2,17,oscillating,85,3.0,1,1.0
30,0.2,18,still,225,,1,0.0
30,0.2,19,oscillating,124,2.0,1,0.0
30,0.2,20,oscillating,121,2.0,1,0.0
30,0.2,21,oscillating,207,2.0,1,0.0
30,0.2,22,oscillating,242,2.0,1,0.0
30,0.2,23,still,112,,1,0.0
30,0.2,24,oscillating,111,2.0,1,0.0
30,0.2,25,oscillating,450,2.0,1,0.0
30,0.2,26,oscillating,157,2.0,1,0.0
30,0.2,27,oscillating,77,2.0,1,0.0
30,0.2,28,oscillating,88,2.0,1,0.0
30,0.2,29,oscillating,233,2.0,1,0.0
30,0.2,30,still,293,,1,1.0
30,0.2,31,oscillating,67,2.0,1,0.0
30,0.2,32,still,160,,1,1.0
30,0.2,33,still,117,,1,0.0
30,0.2,34,oscillating,159,2.0,1,1.0
30,0.2,35,oscillating,49,2.0,1,0.0
30,0.2,36,oscillating,313,2.0,1,0.0
30,0.2,37,oscillating,114,2.0,1,0.0
30,0.2,38,still,233,,1,0.0
30,0.2,39,oscillating,132,3.0,1,1.0
30,0.2,40,active_end,500,,1,0.0
30,0.2,41,oscillating,259,2.0,1,0.0
30,0.2,42,still,167,,1,0.0
30,0.2,43,oscillating,210,2.0,1,0.0
30,0.2,44,still,117,,1,0.0
30,0.2,45,oscillating,341,2.0,1,0.0
30,0.2,46,oscillating,109,2.0,1,1.0
30,0.2,47,oscillating,164,2.0,1,0.0
30,0.2,48,still,177,,1,0.0
30,0.2,49,oscillating,112,2.0,1,1.0
30,0.2,50,oscillating,169,2.0,1,0.0
30,0.2,51,still,301,,1,1.0
30,0.2,52,oscillating,98,2.0,1,0.0
30,0.2,53,still,182,,1,0.0
30,0.2,54,oscillating,313,2.0,1,0.0
30,0.2,55,oscillating,137,3.0,1,0.0
30,0.2,56,oscillating,123,2.0,1,0.0
30,0.2,57,oscillating,71,2.0,1,1.0
30,0.2,58,oscillating,181,2.0,1,0.0
30,0.2,59,oscillating,127,6.0,1,0.0
30,0.2,60,oscillating,106,2.0,1,0.0
30,0.2,61,oscillating,136,2.0,1,0.0
30,0.2,62,oscillating,62,2.0,1,0.0
30,0.2,63,still,129,,1,0.0
30,0.2,64,oscillating,200,2.0,1,0.0
30,0.2,65,still,125,,1,0.0
30,0.2,66,oscillating,190,2.0,1,0.0
30,0.2,67,still,206,,1,0.0
30,0.2,68,oscillating,156,2.0,1,0.0
30,0.2,69,oscillating,200,2.0,1,1.0
30,0.2,70,oscillating,127,2.0,1,0.0
30,0.2,71,oscillating,194,2.0,1,1.0
30,0.2,72,oscillating,61,2.0,1,1.0
30,0.2,73,oscillating,49,2.0,1,1.0
30,0.2,74,active_end,500,,1,0.0
30,0.2,75,still,110,,1,0.0
30,0.2,76,oscillating,156,2.0,1,0.0
30,0.2,77,oscillating,126,2.0,1,1.0
30,0.2,78,oscillating,227,2.0,1,1.0
30,0.2,79,still,336,,1,0.0
30,0.2,80,oscillating,91,2.0,1,0.0
30,0.2,81,oscillating,144,2.0,1,1.0
30,0.2,82,still,267,,1,0.0
30,0.2,83,oscillating,184,2.0,1,0.0
30,0.2,84,oscillating,280,2.0,1,0.0
30,0.2,85,oscillating,388,2.0,1,0.0
30,0.2,86,still,254,,1,0.0
30,0.2,87,oscillating,113,2.0,1,0.0
30,0.2,88,oscillating,286,2.0,1,0.0
30,0.2,89,oscillating,159,2.0,1,0.0
30,0.2,90,still,61,,1,0.0
30,0.2,91,oscillating,300,2.0,1,0.0
30,0.2,92,still,170,,1,0.0
30,0.2,93,oscillating,223,2.0,1,0.0
30,0.2,94,oscillating,174,2.0,1,0.0
30,0.2,95,oscillating,103,2.0,1,0.0
30,0.2,96,oscillating,103,2.0,1,0.0
30,0.2,97,oscillating,311,2.0,1,0.0
30,0.2,98,oscillating,295,2.0,1,0.0
30,0.2,99,oscillating,271,2.0,1,0.0
30,0.2,100,oscillating,224,2.0,1,0.0
30,0.2,101,oscillating,58,2.0,1,0.0
30,0.2,102,oscillating,96,2.0,1,0.0
30,0.2,103,oscillating,192,6.0,1,0.0
30,0.2,104,oscillating,116,2.0,1,0.0
30,0.2,105,oscillating,119,2.0,1,1.0
30,0.2,106,still,147,,1,1.0
30,0.2,107,oscillating,274,2.0,1,0.0
30,0.2,108,oscillating,76,2.0,1,1.0
30,0.2,109,oscillating,84,2.0,1,1.0
30,0.2,110,oscillating,97,2.0,1,0.0
